이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
짜장오므라이스,"가뿐한끼 현미밥1개(150g), 가뿐한끼 짜장1개(130g), 대파1/6대, 양파1/6개, 브로콜리1/8개, 오뚜기 프레스코 카놀라유1T, 소금1/2t, 후추약간, 오뚜기 맛있는계란3개, 흰우유15ml","한끼를 근사하게 만들어줄 짜장오므라이스 레시피를 소개해드릴게요. _x000D_ 가뿐한끼 현미밥과 짜장으로 만든 짜장밥에 부드러운 오믈렛이 얹어져 _x000D_ 아이도, 어른도 부담없는 간편한 한 끼!_x000D_ 맛있게 짜장오므라이스 한 끼 어떠세요?_x000D_

Step 1 대파는 송송 썰고 양파와 브로콜리는 다이스한다.

Step 2 가뿐한끼 짜장은 뜨거운 물에 5분간 중탕해 데우고 가뿐한끼 현미밥은 전자레인지에 2분간 조리한다.

Step 3 후라이팬에 카놀라유를 두르고 대파, 양파를 볶다가 브로콜리와 현미밥을 넣고 소금, 후추로 간해 볶는다.

Step 4 계란을 약간의 소금과 우유를 넣고 고르게 풀은 후 후라이팬에 부어 지단이나 오믈렛을 만든다.

Step 5 그릇에 볶은 밥을 담고 짜장소스를 두른 후 계란을 얹어 완성한다.",밥,"계란, 유제품",볶음,"캠핑, 도시락, 1인분, 키즈푸드",생일,"후라이팬, 냄비"
오야꼬동,"오늘밥상 차슈요리 양념50g, 닭다리살180g, 오뚜기밥2개, 계란2개, 양파1/2개, 대파15g","오늘밥상 차슈요리 양념으로 만드는 다양한 응용 레시피 시리즈!_x000D_ 남녀노소 좋아하는 일식 덮밥요리, 간단하게 완성할 수 있습니다._x000D_ 돈까스를 넣으면 가츠동, 쇠고기를 넣으면 규동, 돼지고기를 넣으면 부타동으로_x000D_ 다양하게 요리해 드셔보세요.

Step 1 양파는 채 썰고, 대파는 송송 썰고, 닭다리살은 한 입 크기로 썬다.

Step 2 계란은 풀어 두고, 차슈요리 양념과 물120ml(1/2C컵)은 섞어둔다.

Step 3 팬에 닭다리살을 넣고 반 정도 익힌 다음 양파를 넣어 충분히 볶는다.

Step 4 2번의 소스, 풀어놓은 계란과 대파를 올린 후 뚜껑을 덮고 3분간 끓인다.

Step 5 밥 위에 부어 완성한다.",밥,닭고기,구이,"스피드, 야식",,후라이팬
차슈 볶음밥,"오늘밥상 차슈요리 양념40g(1/3개), 삼겹살100g, 오뚜기밥 210g2개, 대파1대, 계란2개, 식용유5T, 쪽파약간, 당근50g","오늘밥상 차슈요리양념으로 만드는 다양한 간편 응용 레시피 시리즈!_x000D_ 한 중 일 나라마다 각양각색의 볶음밥이 있는데요, 오늘은 일본식 볶음밥을 소개합니다. _x000D_ 잘게 썰은 삼겹살에 가쓰오와 생강향으로 감칠맛을 살린 차슈볶음밥인데요, _x000D_ 보기도 좋고 먹기도 좋은 차슈볶음밥으로 오늘 밥상을 완성해보는건 어떨까요?

Step 1 삼겹살과 당근은 잘게 썰고, 대파와 쪽파는 송송 썰고, 계란은 풀어둔다.

Step 2 달군 팬에 식용유를 두르고 대파를 볶다가 삼겹살과 당근을 넣고 볶는다.

Step 3 (2)를 팬 한쪽으로 밀고, 다른 한 쪽에 계란을 스크램블 하여 볶는다.

Step 4 오뚜기밥과 차슈요리 양념을 넣고 볶은 후 쪽파를 올려 완성한다.",밥,돼지고기,볶음,"스피드, 야식, 키즈푸드",,후라이팬
해물 가지 카레,"오뚜기 백세카레 약간매운맛1봉, 칵테일 새우12마리, 가지3개, 양파1개, 오징어1마리, 케챂4T, 물700ml, 오뚜기밥 210g4개","Step 1 가지는 길이로 반을 잘라 팬에 올리브유를 두르고 자른 면이 바닥으로 가게 얹어 무르도록 푹 익힌다. 푹 무르면 숟가락으로 속을 긁어낸다.

Step 2 오징어는 손질한 뒤 사방 2cm 크기로 썬다. 양파는 잘게 다진다.

Step 3 냄비에 버터를 두르고 다진 양파와 마늘을 넣어 볶는다.

Step 4 물을 붓고 발라낸 가지 속을 넣어 끓으면 해물을 넣고 카레를 풀어 부은 뒤 케챂을 넣고 끓인다.

Step 5 오뚜기밥을 데워 그릇에 담고 백세카레를 곁들인다.",밥,해물,볶음,"브런치, 1인분",카레데이,"후라이팬, 냄비"
통삼겹된장구이,"통삼겹살700g, 오뚜기 차돌 된장찌개양념1/2개[60g], 가지1개, 양파1/2개","Step 1 고기에 벌집모양으로 칼집을 내고 차돌 된장찌개양념을 고루 바른다.

Step 2 가지와 양파는 굵게 편 썬다.

Step 3 에어프라이어에 고기와 가지, 양파를 180도에 15분 굽는다.

Step 4 고기와 가지, 양파를 뒤집고 10분 더 굽는다.

Step 5 먹기 좋은 크기로 썰어 그릇에 담아 완성한다.","밥, 반찬",돼지고기,구이,도시락,,에어프라이어
카레 닭볶음탕,"백세카레 분말 매운맛1봉, 양파1/2개, 닭1/2마리, 당근1/2개, 감자1개, 물700ml","Step 1 닭을 손질한 후 깨끗이 씻는다.

Step 2 볼에 백세카레가루와 물을 넣고 뭉치지 않게 잘 풀어준 후 1.의 닭을 재워 놓는다.

Step 3 감자, 당근은 먹기 좋은 크기로 썰어주고 양파는 채 썬다.

Step 4 냄비에 2.의 닭과 카레 물, 3.의 야채를 넣고 익을 때까지 끓인다. (물을 조금씩 부어주며 소스의 농도를 조절한다.) ※ 카레가루는 닭의 비린내를 제거하여 맛과 향을 더욱 좋게한다.","밥, 반찬",닭고기,국탕찌개,"야식, 캠핑",,냄비
카레 김밥,"백세카레 분말 순한맛2T, 오뚜기참치100g, 마요네스적당량, 게맛살1줄, 오뚜기밥 210g1개, 파프리카적당량, 참기름1T","Step 1 참치는 기름을 빼고 게맛살, 파프리카는 김 길이에 맞추어 길게 썬다.

Step 2 볼에 밥과 백세카레가루, 참기름을 넣고 골고루 섞는다.※ 카레가루를 사용하면 별도로 밥의 간을 맞추지 않아도 된다.

Step 3 김발에 김 1장을 놓고 2.의 밥을 넓게 펼친 후 게맛살, 파프리카, 참치 순으로 얹어준 후 마요네스를 뿌린다.

Step 4 김발을 이용해서 동그랗게 말아준 후 먹기 좋은 크기로 썬다.",밥,기타,기타,"브런치, 도시락",,기타
치킨 카레 마늘 볶음밥,"오뚜기 백세카레35g, 당근적당량, 마늘6쪽, 그린빈3개, 닭가슴살1쪽, 방울토마토3개, 오뚜기밥 210g1개, 물50ml, 감자적당량, 올리브유적당량, 소금적당량, 청주적당량","Step 1 감자와 당근은 껍질을 벗겨 큼직하게, 마늘은 꼭지 제거 후 얇게 썬다.

Step 2 닭가슴살은 잔 칼집을 넣은 뒤 큼직하게 썰어 소금, 후추, 청주로 밑간한다.

Step 3 팬에 올리브유를 두른 뒤 감자와 당근, 닭가슴살을 넣어 센 불로 겉을 노릇하게 익히다가 색이 나기 시작하면 방울토마토를 넣어 볶는다.

Step 4 물을 붓고 백세카레와 끓는 소금물에 데쳐둔 그린빈을 넣어 중간불로 끓여 속까지 익힌다.

Step 5 올리브유와 마늘을 넣어 향을 낸 팬에서 밥을 볶아 카레와 함께 곁들여 완성한다.",밥,,볶음,,카레데이,후라이팬
햄무스비,"오뚜기햄1캔[200g], 김밥용 김2장, 맛있는 오뚜기밥2개[420g], 오뚜기 맛있는계란2개, 소금1t, 오뚜기 옛날 볶음참깨1/2T, 오뚜기 고소한참기름1T","김밥을 돌돌 말아야만 할까요!? 간단한 김밥재료로 모양을 바꾸어 만들어보세요. 햄이 담겼던 케이스를 활용하여 모양을 잡으면, 먹음직스러운 일본식 사각김밥인 햄무스비를 만들 수 있어요. _x000D_ 집에서 손쉽게 해 먹기도 좋고, 도시락으로도 정말 좋은 메뉴랍니다._x000D_

Step 1 계란을 잘 풀어 약간의 소금간을 하고 지단을 만들고 직사각형 모양으로 잘라놓는다.

Step 2 김밥용 김은 길게 반으로 자른다.

Step 3 오뚜기밥은 전자레인지 조리하고 소금, 참기름, 깨로 간을 한다.

Step 4 햄은 길이에 맞춰 4등분하고 후라이팬에 굽는다.

Step 5 햄이 담겨있던 케이스에 비닐을 깐다.

Step 6 1,3,4번의 재료를 5번 케이스에 밥→햄→지단→밥의 순서로 깔고, 눌러서 모양을 잡는다.

Step 7 비닐에서 뺀 뒤 김으로 감싸고 먹기 좋게 썰어 완성한다.","밥, 분식","돼지고기, 계란",기타,"간식, 도시락, 파티, 1인분, 키즈셰프, 키즈푸드",,"후라이팬, 전자레인지"
트러플 크림리조또,"프레스코 스파게티소스 트러플&크림130g, 프레스코 올리브유적당량, 오뚜기밥210g, 양파 1/4개, 버섯50g, 우유150ml","복잡한 요리는 귀찮지만 집에서 고급스러운 양식을 드시고 싶을 때가 있죠. 그럴 때를 위한 리조또 레시피예요. 오뚜기 트러플&크림 스파게티 소스를 활용하면 무척이나 간단하지만 맛은 여느 레스토랑 부럽지 않아요. 프랑스 3대 진미라 불리는 트러플의 독특한 풍미가 부담스럽지 않게 은은하게 나지요. 여기에 크림과 우유의 부드럽고 진한 맛 더해져 황홀할 정도랍니다.

Step 1 후라이팬에 프레스코 올리브유를 두르고 양파 ¼개, 버섯 등을 넣고 볶는다.

Step 2 1의 후라이팬에 오뚜기밥 (210g) 한 개를 넣고 고루 섞이도록 볶아준다.

Step 3 트러플&크림 소스와 우유를 넣은 후 잘 섞어 완성한다.

Step 4 *소스의 농도는 우유를 가감하여 조절한다.",밥,"해물, 유제품",볶음,"스피드, 브런치, 파티, 1인분, 부드러운 식감, 셰프의 팁! 간편식 업그레이드",크리스마스,후라이팬
진짬뽕라면볶음밥,"오뚜기 진짬뽕 용기1개[115g], 오뚜기 맛있는계란1개, 대파1/8대, 오뚜기 작은밥1개[150g], 오뚜기 프레스코 카놀라유1T, 미지근한 물250ml","컵라면으로 볶음밥을?! 아는 분들은 이미 다 아시는 컵라면 볶음밥 레시피예요. 컵라면을 부숴 밥과 함께 볶아주고 마법의 스프인 진짬뽕 스프를 넣어주면 완성! 파기름으로 고소한 맛을 더하고 계란을 넣어서 더욱 풍성하게 완성되는 볶음밥이랍니다. 크림진짬뽕부터 라면볶음밥까지, 진짬뽕의 변신은 대체 어디까지 가능한걸까요?!

Step 1 진짬뽕 라면의 면을 부시고 용기에 다시 담아 소스와 미지근한 물을 넣고 섞는다.

Step 2 대파를 송송 썬다.

Step 3 오뚜기밥을 전자레인지 조리한다.

Step 4 후라이팬에 카놀라유를 두르고 대파를 볶다가 계란을 넣어 스크램블한다.

Step 5 밥과 진짬뽕을 넣어 5분간 볶고 유성스프를 넣어 완성한다.","밥, 분식",계란,볶음,"캠핑, 1인분, 셰프의 팁! 간편식 업그레이드",,후라이팬
마파볶음우동,"오뚜기 정통사천식 마파두부양념1/2개[80g], 오뚜기 우동면사리1봉[190g], 두부1/2모, 오뚜기 라조장 산초1T, 물2T, 실파1대, 오뚜기 옛날 볶음참깨1/2t, 오뚜기 프레스코 포도씨유1T","매콤한 마파볶음우동으로 잃어버린 입맛을 찾아보세요! 정통사천식 마파두부양념에 빠르게 볶아내면 완성! 후루룩 먹다 보면 금방 순삭되는 맛있는 볶음우동이랍니다. 우동면 대신 라면사리나 스파게티 면으로 응용해도 좋아요.

Step 1 우동면사리를 끓는 물에 2분간 삶고 찬물에 헹궈 물기를 뺀다.

Step 2 두부는 사방 2cm로 자르고 실파는 송송 썬다.

Step 3 후라이팬에 기름을 약간 두르고 두부를 겉이 노릇하게 구운 뒤 라조장을 두른다.*기름을 사용하지 않고 라조장만으로 두부를 구울 수도 있다. 다만, 고추, 산초 등 라조장의 건더기가 쉽게 탈 수 있으니 주의한다.

Step 4 마파두부양념과 물을 넣고 살짝 끓인다.

Step 5 우동면사리를 넣고 소스가 배일 때까지 강한 불에 빠르게 볶는다.

Step 6 볶아진 면을 그릇에 담고 실파와 참깨를 얹어 완성한다.","밥, 분식",기타,볶음,"스피드, 야식, 파티, 1인분",,후라이팬
소시지 어린이카레라이스,"오뚜기 어린이 카레1/2개[40g], 비엔나 소시지12개[100g], 물250ml, 오뚜기밥1개[210g], 양파1/2개, 당근1/4개, 오뚜기 스위트콘1/4캔[49.5g], 오뚜기 식용유(콩기름)1T","더 순해진 '어린이카레'를 아시나요? 기존 제품보다 나트륨은 줄이고 칼슘과 DHA를 추가한 기특한 카레입니다. 간단하지만 맛도 좋은 소시지 카레라이스 레시피를 소개해요. 늦은 주말 점심으로도 좋고, 든든한 저녁 식사로도 좋아요. 귀여운 문어 모양의 소시지가 들어 있어 아이들도 재미있어 한답니다.

Step 1 비엔나 소시지에 십자로 칼집을 내어 문어모양을 만든다.

Step 2 양파와 당근은 스위트콘과 같은 크기로 다이스한다.

Step 3 냄비에 콩기름을 두르고 비엔나 소시지, 양파, 당근을 볶는다.

Step 4 물과 어린이 카레, 스위트콘을 넣고 걸쭉하게 끓인다.

Step 5 오뚜기밥을 전자레인지에 조리하고 그릇에 담는다.

Step 6 밥 위에 카레를 얹어 완성한다.",밥,채소,볶음,"캠핑, 도시락, 1인분, 키즈푸드",카레데이,냄비
견과류 밀크카레라이스,"바몬드카레 골드 순한맛1/2봉, 오뚜기밥 210g2개, 견과류 1줌, 물200ml, 우유 200ml, 프랑크소시지2개, 브로콜리 적당량, 미니새송이버섯적당량","누구에게나 자신있는 요리 하나쯤은 있기 마련이지요. 우리에게 카레가 그런 요리가 될 수 있지 않을까요? 카레를 만들 때 우유와 견과류를 더해보세요. 카레 전문점 부럽지 않은 색다른 한 끼를 완성할 수 있답니다. 소시지, 버섯, 브로콜리는 취향에 따라 다양한 재료로 바꾸어도 좋아요!

Step 1 브로콜리와 프랑크 소시지는 한입 크기로 썬다.

Step 2 냄비에 미니 새송이버섯, 브로콜리, 소시지, 물 200ml를 넣어 중간 불로 끓인다.

Step 3 끓어오르면 우유와 카레가루를 넣어 섞는다.

Step 4 농도가 걸쭉해지면 견과류를 넣고 잘 섞는다.

Step 5 오뚜기밥을 데우고 그릇에 밥과 카레를 담아 완성한다.",밥,"채소, 유제품",기타,"브런치, 1인분, 키즈푸드",카레데이,냄비
포장마차김밥,"김밥용 김8장, 맛있는 오뚜기밥4개[210g*4], 오뚜기 오감포차 주꾸미볶음1개[200g], 단무지8줄, 오뚜기 오감포차 직화오돌뼈1개[150g], 깻잎8장, 소금2t, 오뚜기 고소한참기름4T, 오뚜기 옛날 볶음참깨2T","오감포차 냉동안주 제품을 활용한 포장마차 스타일 매콤한 김밥 레시피예요. 불맛 나는 주꾸미와 오돌뼈는 당연히 맛있고, 깻잎과 단무지가 양념의 매콤한 맛을 잡아줘서 참 잘 어울려요. 특히 오독오독 씹히는 오돌뼈가 김밥 안에 쏙 들어가니 식감도 재미있고요. 참, 치아가 약하신 분들은 조심해서 드셔야 해요!

Step 1 오뚜기밥과 오감포차 쭈꾸미볶음, 직화오돌뼈를 전자레인지에 조리한다.

Step 2 밥은 소금, 참기름, 깨로 간을 한다.

Step 3 김에 밥, 깻잎을 깔고 단무지를 올리고, 주꾸미볶음 또는 오돌뼈를 올려 김밥을 만다.

Step 4 먹기 좋게 잘라 그릇에 담아 완성한다.",밥,기타,기타,"야식, 간식, 도시락, 셰프의 팁! 간편식 업그레이드",,전자레인지
새우크림카레,"대하6마리, 오뚜기 백세카레 약간 매운맛3큰술, 다진마늘1/2큰술, 코코넛 밀크1과1/2컵, 녹말2큰술, 설탕1작은술, 오뚜기 맛있는 계란1개, 오뚜기 현미유적당량, 홍고추1개, 쪽파4뿌리","남녀노소 좋아하는 재료인 새우를 사용한 부드러운 카레예요. 코코넛밀크와 계란을 넣어서 그런지, 동남아요리의 느낌이 물씬 난답니다. 코코넛밀크 특유의 부드럽고 고소한 맛이 정말 잘 어울려요. 대하 손질이 번거롭다면 손질된 새우를 활용해보세요!

Step 1 새우는 머리를 떼고 껍질을 벗긴 뒤 등 쪽에 칼집을 길게 낸다.

Step 2 쪽파는 4cm 길이로 썰고, 홍고추는 어슷하게 썬다.

Step 3 새우에 녹말을 묻힌다.

Step 4 팬에 현미유를 두르고 3의 새우를 굽는다.

Step 5 다른 팬에 현미유를 두르고 다진 마늘을 볶다가 카레 가루를 넣어 볶는다.

Step 6 코코넛 밀크를 넣고 섞은 뒤 4의 새우와 쪽파, 홍고추, 설탕을 섞은 다음 계란을 깨뜨려 넣고 섞는다.

Step 7 카레를 그릇에 담고 밥을 곁들여 완성한다.",밥,"채소, 해물",볶음,"브런치, 파티, 1인분",카레데이,후라이팬
김치볶음밥,"맛있는 오뚜기밥1개(210g), 오뚜기 옥수수 마아가린1T, 대파1/8대, 설탕1/2T, 양파1/4개, 다진김치4T, 이금기프리미엄굴소스1/2T, 오뚜기 밥친구 야채1개[8g], 오뚜기 고소한참기름1T, 이금기팬더양조간장1t","세상에는 참 많은 김치볶음밥 레시피가 있지만 오뚜기 추천 김치볶음밥 레시피를 소개합니다. 김치볶음밥의 키 포인트는 바로 오뚜기 밥친구! 김치만으로는 부족할 수 있는 감칠맛을 풍부하게 채워줘요. 완성된 김치볶음밥에 참기름 한스푼 둘러주고 기호에 따라 계란후라이나 치즈를 곁들여 드셔보세요. 근사한 한끼가 완성된답니다.

Step 1 대파는 송송 썰고 양파는 다이스한다.

Step 2 마가린을 녹인 후라이팬에 대파와 양파를 볶다가 다진김치를 볶는다.

Step 3 굴소스, 설탕, 간장, 밥친구, 약간의 김치국물을 넣어 볶는다.

Step 4 데우지 않은 오뚜기밥도 후라이팬에 넣고 3분간 볶는다.

Step 5 참기름과 깨를 뿌려 완성한다.","밥, 분식",채소,볶음,"스피드, 야식, 1인분, 셰프의 팁! 간편식 업그레이드",,후라이팬
